year,ff_rate_trend
1740,0
1752,0.00299926551421459
1753,0.00300019680489658
1754,0.00299994726619909
1755,0.00300001413030705
1756,0.00299999621257271
1757,0.00300000101940211
1758,0.00299999970981885
1759,0.00300000014132251
1760,0.00299999972489112
1761,0.00300000095911299
1762,0.00299999643865692
1763,0.00300001328625934
1764,0.00299995041630571
1765,0.00300018504851784
1766,0.00299930938962293
1767,0.00300257739299043
1768,0.00299038103841536
1769,0.00303589845334815
1770,0.00286602514819207
1771,0.00350000095388356
1772,0.0041339710362737
1773,0.00396411490102165
1774,0.00400956935963969
1775,0.00399760766041958
1776,0.00399999999868201
1777,0.0040023923448524
1778,0.00399043062190837
1779,0.00403588516751412
1780,0.0038660287080352
1781,0.00450000000034512
1782,0.00513397129058429
1783,0.00496411483731769
1784,0.00500956936014496
1785,0.00499760772210246
1786,0.0049999997514452
1787,0.00500239327211677
1788,0.00499042716008776
1789,0.0050358980875322
1790,0.00486598048978337
1791,0.00550017995333426
1792,0.00613329969687963
1793,0.00596662125914727
1794,0.00600021526653134
1795,0.00603251767472733
1796,0.00586971403455929
1797,0.00648862618703555
1798,0.00717578121729855
1799,0.0068082489437703
1800,0.00759122300762021
1801,0.00782685902574884
1802,0.0091013408893845
1803,0.00976777741671321
1804,0.00882754944376261
1805,0.00892202480823632
1806,0.00948435132329216
1807,0.0101405698985951
1808,0.0099533690823275
1809,0.0100459537720948
1810,0.00986281582929322
1811,0.0105027829107324
1812,0.0111260525277774
1813,0.0109930069781583
1814,0.0109019195595896
1815,0.0113993147834833
1816,0.0125008213064773
1817,0.0135973999906077
1818,0.014109578731092
1819,0.0139642850850243
1820,0.0140332809288107
1821,0.0139025911997328
1822,0.0143563542722581
1823,0.0156719917112347
1824,0.0159556788828028
1825,0.0165052927575539
1826,0.0170231500869816
1827,0.0174021068945197
1828,0.0183684223349396
1829,0.0171242037657215
1830,0.0211347626021741
1831,0.0243367458255823
1832,0.0225182540954969
1833,0.0235902377924303
1834,0.0241207947347821
1835,0.0239265832684412
1836,0.0271728721914531
1837,0.0293819279657468
1838,0.0292994159455601
1839,0.0304204082520128
1840,0.0320189510463887
1841,0.0335037875624326
1842,0.0349658987038811
1843,0.0366326176220429
1844,0.0375036308079472
1845,0.041352859146168
1846,0.0430849326073809
1847,0.0443074104243084
1848,0.0466854256953852
1849,0.0479508867941506
1850,0.0525110271280121
1851,0.054005004693801
1852,0.055468954096784
1853,0.0571191789190629
1854,0.0640543302269641
1855,0.0706635001730803
1856,0.073291669080715
1857,0.07716982350406
1858,0.0770290369030446
1859,0.0797140288837616
1860,0.0871148475619092
1861,0.0938265808686023
1862,0.0955788289636816
1863,0.0998581032766705
1864,0.107988757929637
1865,0.116186865004783
1866,0.120263782051229
1867,0.125758006790299
1868,0.132704190787575
1869,0.138425230059402
1870,0.144594888974819
1871,0.150195214041321
1872,0.163624254859895
1873,0.1823077665191
1874,0.178144679063704
1875,0.179113517226084
1876,0.191401252031962
1877,0.192281474646067
1878,0.194472849383768
1879,0.199827127818863
1880,0.224218639340783
1881,0.241298314818004
1882,0.247588101387201
1883,0.265349279633191
1884,0.275014780080033
1885,0.27559160004668
1886,0.278618819733246
1887,0.283933121020336
1888,0.313648696185412
1889,0.327472094238015
1890,0.338462926862529
1891,0.367676198311871
1892,0.374832279889989
1893,0.370994682128168
1894,0.373188991597339
1895,0.395249351482476
1896,0.412813602472755
1897,0.428496238626509
1898,0.450201443021211
1899,0.485697989288647
1900,0.5230065998242
1901,0.545275611414554
1902,0.553890954517586
1903,0.593160570515105
1904,0.622466763421994
1905,0.639972375796916
1906,0.678643733390342
1907,0.755452690641717
1908,0.772545504042787
1909,0.75636529318713
1910,0.806993323208694
1911,0.82766141397809
1912,0.847361020878947
1913,0.927894502506121
1914,0.907060969096567
1915,0.82286162110761
1916,0.865492546472989
1917,0.932168193000436
1918,0.973834681525274
1919,0.845493080898475
1920,0.87019299488082
1921,0.887734939578244
1922,0.783867246806214
1923,0.920796073196898
1924,0.977948460406185
1925,0.966410085178363
1926,0.970411198880372
1927,1.02594511930014
1928,1.06080832391906
1929,1.11182158502362
1930,1.12190533598644
1931,0.994557071030621
1932,0.878866379891082
1933,0.850977409405049
1934,0.93722398248873
1935,0.998126660640033
1936,1.07026937495114
1937,1.1917958395554
1938,1.17954726682727
1939,1.14301509313554
1940,1.25039236063058
1941,1.32841546434215
1942,1.3349457820008
1943,1.35980140765465
1944,1.42484858738061
1945,1.2628042428229
1946,1.1529344413278
1947,1.31945799186591
1948,1.45923359120854
1949,1.42660764329991
1950,1.49833583559185
1951,1.7270490143327
1952,1.78446810707734
1953,1.82107855735792
1954,1.839217663491
1955,1.94005078867807
1956,2.12157918179671
1957,2.23063248413512
1958,2.29689088166281
1959,2.38180398921361
1960,2.52789316148271
1961,2.57562336485553
1962,2.61661337909518
1963,2.75592311876378
1964,2.91669414584972
1965,3.06130029783734
1966,3.21310466280093
1967,3.34028105095892
1968,3.4687711333634
1969,3.6616344155875
1970,3.9226912042866
1971,4.14660076726611
1972,4.27390572664896
1973,4.50977632613805
1974,4.65698896879888
1975,4.57326779866642
1976,4.70693983653542
1977,4.97897285519192
1978,5.01716874269688
1979,5.22235217402057
1980,5.38642256122088
1981,5.20595758109587
1982,5.10674711439563
1983,5.0630539613216
1984,5.14803704031802
1985,5.34379787740633
1986,5.50177145005659
1987,5.64911632236729
1988,5.82576326047423
1989,6.03083063573579
1990,6.05691419658264
1991,6.0925125779337
1992,6.08303549168262
1993,6.04934545533579
1994,6.11258268697421
1995,6.19032379676735
1996,6.35912212595631
1997,6.48518769940742
1998,6.49612707641396
1999,6.51530399493674
2000,6.68565694383913
2001,6.79206822970682
2002,6.84107013733357
2003,7.13865122095886
2004,7.51932497883102
2005,7.83504886371705
2006,8.13247956630076
2007,8.34603287107982
2008,8.61638894938
2009,8.56341133140018
2010,8.70596572501933
2011,9.17872576852264
2012,9.38613120089011
2013,9.54174942791689
2014,9.5848710874423
2015,9.60776622231377
2016,9.63806402330269
2017,9.73097768447556
2018,9.83002523879506
2019,9.88692136034424
2020,9.95628931982785
