year co2
1679 0
1752 0.003
1753 0.006
1754 0.009
1755 0.012
1756 0.015
1757 0.018
1758 0.021
1759 0.024
1760 0.027
1761 0.03
1762 0.033
1763 0.036
1764 0.039
1765 0.042
1766 0.045
1767 0.048
1768 0.051
1769 0.054
1770 0.057
1771 0.06
1772 0.064
1773 0.068
1774 0.072
1775 0.076
1776 0.08
1777 0.084
1778 0.088
1779 0.092
1780 0.096
1781 0.1
1782 0.105
1783 0.11
1784 0.115
1785 0.12
1786 0.125
1787 0.13
1788 0.135
1789 0.14
1790 0.145
1791 0.15
1792 0.156
1793 0.162
1794 0.168
1795 0.174
1796 0.18
1797 0.186
1798 0.193
1799 0.2
1800 0.207
1801 0.215
1802 0.223
1803 0.233
1804 0.242
1805 0.251
1806 0.26
1807 0.27
1808 0.28
1809 0.29
1810 0.3
1811 0.31
1812 0.321
1813 0.332
1814 0.343
1815 0.354
1816 0.366
1817 0.379
1818 0.393
1819 0.407
1820 0.421
1821 0.435
1822 0.449
1823 0.464
1824 0.48
1825 0.496
1826 0.513
1827 0.53
1828 0.548
1829 0.566
1830 0.584
1831 0.608
1832 0.631
1833 0.654
1834 0.678
1835 0.702
1836 0.727
1837 0.756
1838 0.785
1839 0.815
1840 0.846
1841 0.879
1842 0.913
1843 0.949
1844 0.986
1845 1.025
1846 1.068
1847 1.111
1848 1.157
1849 1.204
1850 1.254
1851 1.308
1852 1.362
1853 1.419
1854 1.478
1855 1.547
1856 1.618
1857 1.694
1858 1.771
1859 1.849
1860 1.932
1861 2.023
1862 2.118
1863 2.215
1864 2.319
1865 2.431
1866 2.55
1867 2.672
1868 2.802
1869 2.937
1870 3.079
1871 3.226
1872 3.382
1873 3.555
1874 3.739
1875 3.913
1876 4.101
1877 4.292
1878 4.486
1879 4.682
1880 4.892
1881 5.128
1882 5.371
1883 5.627
1884 5.899
1885 6.174
1886 6.451
1887 6.732
1888 7.027
1889 7.354
1890 7.681
1891 8.037
1892 8.409
1893 8.783
1894 9.153
1895 9.536
1896 9.942
1897 10.361
1898 10.801
1899 11.266
1900 11.773
1901 12.307
1902 12.859
1903 13.425
1904 14.042
1905 14.666
1906 15.329
1907 16.036
1908 16.82
1909 17.57
1910 18.355
1911 19.174
1912 20.01
1913 20.889
1914 21.832
1915 22.682
1916 23.52
1917 24.421
1918 25.376
1919 26.312
1920 27.118
1921 28.05
1922 28.853
1923 29.698
1924 30.668
1925 31.631
1926 32.606
1927 33.589
1928 34.651
1929 35.716
1930 36.861
1931 37.914
1932 38.854
1933 39.701
1934 40.594
1935 41.567
1936 42.594
1937 43.724
1938 44.933
1939 46.075
1940 47.267
1941 48.566
1942 49.9
1943 51.242
1944 52.633
1945 54.016
1946 55.176
1947 56.414
1948 57.806
1949 59.275
1950 60.694
1951 62.324
1952 64.091
1953 65.886
1954 67.727
1955 69.592
1956 71.634
1957 73.811
1958 76.081
1959 78.411
1960 80.865
1961 83.434
1962 86.014
1963 88.7
1964 91.533
1965 94.528
1966 97.658
1967 100.946
1968 104.339
1969 107.905
1970 111.685
1971 115.738
1972 119.946
1973 124.322
1974 128.936
1975 133.559
1976 138.155
1977 143.019
1978 148.035
1979 153.109
1980 158.466
1981 163.767
1982 168.905
1983 173.999
1984 179.074
1985 184.332
1986 189.749
1987 195.332
1988 201.057
1989 206.993
1990 213.059
1991 219.11
1992 225.229
1993 231.268
1994 237.36
1995 243.498
1996 249.771
1997 256.202
1998 262.703
1999 269.197
2000 275.784
2001 282.547
2002 289.349
2003 296.312
2004 303.654
2005 311.329
2006 319.318
2007 327.566
2008 336.029
2009 344.691
2010 353.221
2011 362.213
2012 371.49
2013 380.968
2014 390.536
2015 400.131
2016 409.754
2017 419.428
2018 429.218
2019 439.074
2020 448.996
2021 458.985
