year,co2,year_spl,co2_spl,year_expanded,co2_expanded
1722.79,276.94,1700,275.722182535171,1700,275.722182535171
1734.09,278.23,1700.5,275.706956185055,1722.79,276.94
1742.73,276.74,1701,275.692986412259,1734.09,278.23
1752.02,276.39,1701.5,275.680316438042,1742.73,276.74
1763.5,276.32,1702,275.668989483663,1752.02,276.39
1773.74,277.78,1702.5,275.659048770381,1763.5,276.32
1780.59,276.78,1703,275.650537519454,1773.74,277.78
1794.41,281.54,1703.5,275.643498952141,1780.59,276.78
1799.56,281.15,1704,275.637976289701,1794.41,281.54
1814.23,284.34,1704.5,275.634012753394,1799.56,281.15
1826.16,281.28,1705,275.631651564477,1814.23,284.34
1834.51,283.73,1705.5,275.63093594421,1826.16,281.28
1838.01,284.07,1706,275.631909113852,1834.51,283.73
1844,286.5,1706.5,275.634614294661,1838.01,284.07
1846,283.3,1707,275.639094707896,1844,286.5
1846,284.96,1707.5,275.645393574816,1846,283.3
1849,287.73,1708,275.653554116681,1846,284.96
1852.29,288.57,1708.5,275.663619554748,1849,287.73
1854,287.03,1709,275.675633110276,1852.29,288.57
1859,286.48,1709.5,275.689638004526,1854,287.03
1864,285.41,1710,275.705677458754,1859,286.48
1867,285.22,1710.5,275.723794694221,1864,285.41
1869.09,287.69,1711,275.744032932185,1867,285.22
1873,287.17,1711.5,275.766435393904,1869.09,287.69
1874,290.52,1712,275.791045300639,1873,287.17
1884,289.81,1712.5,275.817905873646,1874,290.52
1884.35,289.01,1713,275.847060334187,1884,289.81
1886,290.62,1713.5,275.878551903518,1884.35,289.01
1889,291.52,1714,275.9124238029,1886,290.62
1889,292.23,1714.5,275.948719253591,1889,291.52
1894,293.84,1715,275.987481476849,1889,292.23
1896,298.16,1715.5,276.028753693934,1894,293.84
1899,296,1716,276.072579126105,1896,298.16
1899,296.21,1716.5,276.11900099462,1899,296
1902,295.68,1717,276.168062520738,1899,296.21
1902,294.96,1717.5,276.219806925719,1902,295.68
1904,295.12,1718,276.27427743082,1902,294.96
1909,300.45,1718.5,276.331517257301,1904,295.12
1911.5,298.39,1719,276.39156962642,1909,300.45
1914,300.02,1719.5,276.454477759437,1911.5,298.39
1914,300.69,1720,276.520284877611,1914,300.02
1918.63,303.27,1720.5,276.589034202199,1914,300.69
1919,303.55,1721,276.660768954462,1918.63,303.27
1923,303.2,1721.5,276.735532355657,1919,303.55
1923.58,305.2,1722,276.813367627044,1923,303.2
1928.75,307.77,1722.5,276.894317989881,1923.58,305.2
1929,305.72,1723,276.978416892518,1928.75,307.77
1933,307.21,1723.5,277.065359180083,1929,305.72
1934.5,307.82,1724,277.15442235402,1933,307.21
1936.5,308.99,1724.5,277.244858178647,1934.5,307.82
1938,309.56,1725,277.335918418282,1936.5,308.99
1939,310.94,1725.5,277.426854837244,1938,309.56
1940,311.9,1726,277.516919199851,1939,310.94
1941,310.7,1726.5,277.605363270421,1940,311.9
1941.5,310.3,1727,277.691438813273,1941,310.7
1942,310.95,1727.5,277.774397592725,1941.5,310.3
1942,311.63,1728,277.853491373096,1942,310.95
1943,310.51,1728.5,277.927971918703,1942,311.63
1943,311.03,1729,277.997090993865,1943,310.51
1944,311.36,1729.5,278.060100362901,1943,311.03
1944,312.14,1730,278.116251790129,1944,311.36
1944,311.29,1730.5,278.164797039867,1944,312.14
